,A0,B0,C0
63,-2410.7096087041286,-2739.267624816375,-2550.478092051619
64,-2304.204413381453,-2529.0996585277258,-2405.1367420877964
65,-2404.5713020911644,-2320.233818642319,-2285.162385854093
66,-2242.817357703793,-2355.798323944101,-2291.010154870311
67,-2283.675071060078,-2236.2022802087963,-2216.7029096229444
68,-2141.4373247092667,-2119.395159233176,-2273.37860349984
69,-2148.77171618669,-2053.200278384587,-2296.2437847844126
70,-2121.8119698737614,-2213.294370783166,-2118.403518367838
71,-2134.5877461754435,-2129.0135754469406,-2201.4842189568685
72,-2045.9615323528271,-2168.473238405358,-2112.556326136071
73,-2107.4947397103415,-2234.677619818008,-2199.005850861585
74,-2200.501002379387,-2399.6236986508875,-2299.9643578998257
75,-2233.40207582774,-2331.7624587283185,-2309.705344561132
76,-2130.471648026957,-2223.582710849338,-2303.9867044781863
77,-2175.6384978807328,-2230.8663378975816,-2085.4743591524043
78,-2312.254448461155,-2107.578730235443,-2256.6128429439163
79,-2100.9923386598794,-2099.6079960754687,-2206.59286354704
80,-2154.3877317907636,-2233.2201969938533,-2054.7577879574583
81,-2147.289219426358,-2107.444335177186,-2063.548184189071
82,-2249.029706007512,-2266.7081474496126,-2307.0155881088267
83,-2326.3909954920978,-2415.1500613576222,-2297.0977136800684
84,-2139.8808998266986,-2071.2665154763667,-2112.5189048573975
85,-2561.0265113945006,-2507.506472872383,-2326.2115797958822
86,-2314.720815735132,-2420.2528337192557,-2180.4943493990113
87,-2244.268492458751,-2124.4897409338832,-2283.734427301451
88,-2092.7669789572988,-2257.0656692949638,-2158.4882400722454
89,-2063.789883562932,-2028.135026197182,-2010.3627799878413
90,-2162.69921558055,-2130.344796337543,-2287.193241343726
91,-2165.237041222076,-2190.2988615785616,-2138.924370594694
92,-2052.200625399277,-2152.4276583555306,-2038.1812025406357
93,-2002.3729945164746,-2130.988904154423,-2227.943052098134
94,-2092.4089561174533,-2186.9355669582715,-2083.3927874034894
95,-2187.0633409497023,-2191.907784942506,-1997.726989379964
96,-1963.3257457970312,-2314.288718616286,-2162.34349742773
97,-2101.488029357651,-1979.3017770841736,-2013.5457883287058
98,-2209.1853957831263,-2107.198713632649,-2189.7439639024906
99,-2065.1804064471467,-6670.167652357369,-2006.9046240832445
100,-2370.8758329945895,-2356.563086607409,-2175.0706368927754
101,-2711.7595477244,-2454.191102351693,-7831.757961353532
102,-2583.744312614601,-2616.326399113732,-2458.538259885589
103,-3278.77628612598,-2617.268477963917,-3442.393590030463
104,-2521.9623242985786,-2374.3782683609725,-8104.4470191839755
105,-2408.051818776825,-2538.4165320784477,-2338.783940141758
106,-2434.7499377736053,-2553.1077183174257,-2556.0671790403344
107,-2140.2508640375836,-2263.3347427732438,-2439.9114666316286
